Time, Status, Device_ID, Input_PPM, Output_PPM, Efficiency, Flow_Rate, Temp, Pressure, Energy_Cons, Runtime
2/25/2026, 10:54:33 AM,operating,ABS-03,145000,14500,90,2500.5,42.5,1.05,0.32,3600
2/25/2026, 10:54:33 AM,operating,ABS-03,142000,13800,90.3,2480.2,43.1,1.04,0.31,3601
2/25/2026, 10:54:33 AM,warning,ABS-03,155000,31000,80,2600,48.2,1.12,0.45,3602
2/25/2026, 10:54:33 AM,operating,ABS-03,145000,14500,90,2500.5,42.5,1.05,0.32,3600
2/25/2026, 10:54:33 AM,operating,ABS-03,142000,13800,90.3,2480.2,43.1,1.04,0.31,3601
2/25/2026, 10:54:33 AM,warning,ABS-03,155000,31000,80,2600,48.2,1.12,0.45,3602
2/25/2026, 10:54:33 AM,operating,ABS-03,145000,14500,90,2500.5,42.5,1.05,0.32,3600
2/25/2026, 10:54:34 AM,operating,ABS-03,142000,13800,90.3,2480.2,43.1,1.04,0.31,3601
2/25/2026, 10:54:34 AM,warning,ABS-03,155000,31000,80,2600,48.2,1.12,0.45,3602
2/25/2026, 10:54:34 AM,operating,ABS-03,145000,14500,90,2500.5,42.5,1.05,0.32,3600
2/25/2026, 10:54:34 AM,operating,ABS-03,142000,13800,90.3,2480.2,43.1,1.04,0.31,3601
2/25/2026, 10:54:34 AM,warning,ABS-03,155000,31000,80,2600,48.2,1.12,0.45,3602
2/25/2026, 10:54:34 AM,operating,ABS-03,145000,14500,90,2500.5,42.5,1.05,0.32,3600
2/25/2026, 10:54:34 AM,operating,ABS-03,142000,13800,90.3,2480.2,43.1,1.04,0.31,3601
2/25/2026, 10:54:34 AM,warning,ABS-03,155000,31000,80,2600,48.2,1.12,0.45,3602
2/25/2026, 10:54:34 AM,operating,ABS-03,145000,14500,90,2500.5,42.5,1.05,0.32,3600
2/25/2026, 10:54:34 AM,operating,ABS-03,142000,13800,90.3,2480.2,43.1,1.04,0.31,3601
2/25/2026, 10:54:35 AM,warning,ABS-03,155000,31000,80,2600,48.2,1.12,0.45,3602
2/25/2026, 10:54:35 AM,operating,ABS-03,145000,14500,90,2500.5,42.5,1.05,0.32,3600
2/25/2026, 10:54:35 AM,operating,ABS-03,142000,13800,90.3,2480.2,43.1,1.04,0.31,3601
2/25/2026, 10:54:35 AM,warning,ABS-03,155000,31000,80,2600,48.2,1.12,0.45,3602
2/25/2026, 10:54:35 AM,operating,ABS-03,145000,14500,90,2500.5,42.5,1.05,0.32,3600
